Date,Description,Debit,Credit,Balance
2024-12-30,Job,2000.00,0.00,2000.00
2024-12-30,Trip,0.00,300.00,1700.00
2024-12-30,Gift,600.00,0.00,2300.00
2024-12-30,Incentive,1500.00,0.00,3800.00
2024-12-30,Gathering,0.00,100.00,3700.00
2024-12-30,Investment,0.00,1000.00,2700.00
2024-12-30,Gift,180.00,0.00,2880.00
2024-12-30,Interest,270.00,0.00,3150.00
2024-12-30,Passive income,450.00,0.00,3600.00
2024-12-30,Dividens,800.00,0.00,4400.00
2025-01-02,Gift,90.00,0.00,4490.00
2025-01-06,Gift,90.00,0.00,4580.00
2025-01-06,Incentive,2000.00,0.00,6580.00
2025-01-06,Gift,180.00,0.00,6760.00
2025-01-06,Job,20.00,0.00,6780.00
2025-01-06,Gift,180.00,0.00,6960.00
2025-01-06,Gift,100.00,0.00,7060.00
2025-01-06,Job,200.00,0.00,7260.00
2025-01-06,Gift,200.00,0.00,7460.00
2025-01-06,Job,90.00,0.00,7550.00
2025-01-06,Gift,90.00,0.00,7640.00
2025-01-06,Job,100.00,0.00,7740.00
2025-01-06,Trip,0.00,100.00,7640.00
2025-01-08,,500.00,0.00,8140.00
2025-01-08,Eat,0.00,500.00,7640.00
2025-01-08,Gift,200.00,0.00,7840.00
2025-01-08,Gift,200.00,0.00,8040.00
